Name,Abbr Name,ISSN,EISSN,JIF,JIF5Years,Domain,Area,Rank,Normalized Journal,Journal_Abbreviation,Acronym_Candidate
Confins-Revue Franco-Bresilienne de Geographie-Revista Franco-Brasileira de Geografia,CONFINS,1958-9212,1958-9212,0.1,0.2,GEOGRAPHY,Q4,155/171,confins revue franco bresilienne de geographie revista franco brasileira de geografia,,
Cuadernos del CIMBAGE,CUAD CIMBAGE,1666-5112,1669-1830,0.1,0.1,"SOCIAL SCIENCES, MATHEMATICAL METHODS",Q4,67/67,cuadernos del cimbage,,
Cuestiones de Sociologia,CUEST SOCIOL,1668-1584,2346-8904,0.1,0.1,SOCIOLOGY,Q4,210/217,cuestiones de sociologia,,
Debate Universitario,DEBATE UNIV,2314-2138,2314-1530,0.1,0.1,EDUCATION & EDUCATIONAL RESEARCH,Q4,699/756,debate universitario,,
GIM International-The Worldwide Magazine for Geomatics,GIM INT,1566-9076,,0.1,0.1,REMOTE SENSING,Q4,61/62,gim international the worldwide magazine for geomatics,,GIM
Historia e Cultura,HIST CULT,2238-6270,2238-6270,0.1,<0.1,HISTORY,Q3,327/518,historia e cultura,,
History of Economic Thought and Policy,HIST ECON THOUGHT PO,2240-9971,2280-188X,0.1,0.1,ECONOMICS,Q4,585/597,history of economic thought and policy,,
Ingineria Automobilului,ING AUTOMOB,1842-4074,1842-4074,0.1,0.1,"ENGINEERING, MECHANICAL",Q4,178/180,ingineria automobilului,,
Innovacion Educativa-Mexico,INNOV EDUC-MEXICO,1665-2673,2594-0392,0.1,0.1,EDUCATION & EDUCATIONAL RESEARCH,Q4,699/756,innovacion educativa mexico,,
Journal of the Pancreas,J PANCREAS,1590-8577,1590-8577,0.1,0.2,GASTROENTEROLOGY & HEPATOLOGY,Q4,142/143,journal of the pancreas,,
McGill Journal of Education,MCGILL J EDUC,0024-9033,1916-0666,0.1,0.2,EDUCATION & EDUCATIONAL RESEARCH,Q4,699/756,mcgill journal of education,,
Moenia-Revista Lucense de Linguistica & Literatura,MOENIA,1137-2346,2340-003X,0.1,0.1,LANGUAGE & LINGUISTICS,N/A,N/A,moenia revista lucense de linguistica and literatura,,
Navus-Revista de Gestao e Tecnologia,NAVUS-REV GEST TECNO,2237-4558,2237-4558,0.1,0.2,MANAGEMENT,Q4,392/401,navus revista de gestao e tecnologia,,
Neurosonology and Cerebral Hemodynamics,NEUROSONOLOGY CEREB,1312-6431,1312-6431,0.1,<0.1,NEUROSCIENCES,Q4,309/310,neurosonology and cerebral hemodynamics,,
Papeles de Trabajo,PAPEL TRAB,1851-2577,1851-2577,0.1,0.1,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q4,235/263,papeles de trabajo,,
Portes-Revista Mexicana de Estudios sobre la Cuenca del Pacifico,PORTES,1870-6800,1870-6800,0.1,0.1,ECONOMICS,Q4,585/597,portes revista mexicana de estudios sobre la cuenca del pacifico,,
Punto Genero,PUNTO GENERO,0719-0417,0719-0417,0.1,0.1,SOCIAL ISSUES,Q4,64/67,punto genero,,
RBONE-Revista Brasileira de Obesidade Nutricao e Emagrecimento,RBONE-REV BRAS OBES,1981-9919,1981-9919,0.1,0.1,NUTRITION & DIETETICS,Q4,112/114,rbone revista brasileira de obesidade nutricao e emagrecimento,,
Revista de Sociedad Gaditana de Historia Natural,REV SOC GADIT HIST N,1577-2578,2340-5759,0.1,0.1,ENVIRONMENTAL SCIENCES,Q4,356/358,revista de sociedad gaditana de historia natural,,
Revista Ecorfan,REV ECORFAN,2007-1582,2007-3682,0.1,<0.1,BUSINESS,Q4,295/302,revista ecorfan,,
Revista Formacao Online,REV FORM ONLINE,2178-7298,1517-543X,0.1,<0.1,GEOGRAPHY,Q4,155/171,revista formacao online,,
Revista General de Derecho Penal,REV GEN DERECHO PENA,1698-1189,1698-1189,0.1,0.1,LAW,Q4,365/421,revista general de derecho penal,,
Revista Latinoamericana de Estudios sobre Cuerpos Emociones y Sociedad,REV LATINOAM ESTUD C,1852-8759,1852-8759,0.1,0.2,SOCIAL ISSUES,Q4,64/67,revista latinoamericana de estudios sobre cuerpos emociones y sociedad,,
Revista Perspectiva Empresarial,REV PERSPECT EMPERSA,2389-8186,2389-8194,0.1,0.1,BUSINESS,Q4,295/302,revista perspectiva empresarial,,
Revista Peruana de Ginecologia y Obstetricia,REV PERU GINECOL OBS,2304-5124,2304-5132,0.1,0.1,OBSTETRICS & GYNECOLOGY,Q4,130/136,revista peruana de ginecologia y obstetricia,,
Revista Ra Ximhai,REV RA XIMHAI,1665-0441,1665-0441,0.1,0.1,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q4,235/263,revista ra ximhai,,
Revista Univap,REV UNIVAP,1517-3275,2237-1753,0.1,0.1,MULTIDISCIPLINARY SCIENCES,Q4,122/134,revista univap,,
Revista Uruguaya de Historia Economica,REV URG HIST ECON,1688-8561,1688-8561,0.1,0.2,ECONOMICS,Q4,585/597,revista uruguaya de historia economica,,
SEA TECHNOLOGY,SEA TECHNOL,0093-3651,,0.1,0.2,"ENGINEERING, OCEAN",Q4,18/18,sea technology,,SEA
Studia Prawnicze KUL,STUD PRAWNICZE KUL,1897-7146,2719-4264,0.1,,LAW,Q4,365/421,studia prawnicze kul,,
Vision Gerencial,VIS GERENC,2477-9547,1317-8822,0.1,0.1,MANAGEMENT,Q4,392/401,vision gerencial,,
Zeitschrift fur Pneumologie,Z PNEUMOLOGIE,2731-7404,2731-7412,0.1,0.1,RESPIRATORY SYSTEM,Q4,99/100,zeitschrift fur pneumologie,,
Anuario Calderoniano,ANU CALDERON,1888-8046,,0.1,0.1,"LITERATURE, ROMANCE",N/A,N/A,anuario calderoniano,,
Cauce-Revista Internacional de Filologia Comunicacion y sus Didacticas,CAUCE,0212-0410,0212-0410,0.1,0.1,LANGUAGE & LINGUISTICS,N/A,N/A,cauce revista internacional de filologia comunicacion y sus didacticas,,
Ciudad Paz-Ando,CIUDAD PAZ-ANDO,2011-5253,2422-278X,0.1,0.1,POLITICAL SCIENCE,Q4,289/317,ciudad paz ando,,
Cuaderno Activa,CUAD ACT,2027-8101,2027-8101,0.1,<0.1,"ENGINEERING, MULTIDISCIPLINARY",Q4,175/179,cuaderno activa,,
DANCE MAGAZINE,DANCE MAG,0011-6009,,0.1,0.1,DANCE,N/A,N/A,dance magazine,,DANCE
DOWN BEAT,DOWN BEAT,0012-5768,0012-5768,0.1,<0.1,MUSIC,N/A,N/A,down beat,,DOWN
e-Legal History Review,E-LEG HIST REV,1699-5317,1699-5317,0.1,<0.1,LAW,Q4,365/421,e legal history review,,
Filtration + Separation,FILTR SEPARAT,0015-1882,1873-7218,0.1,0.1,"ENGINEERING, CHEMICAL",Q4,167/170,filtration + separation,,
Foro-Revista de Ciencias Juridicas y Sociales. NuevaEpoca,FORO,1698-5583,2255-5285,0.1,0.1,EDUCATION & EDUCATIONAL RESEARCH,Q4,699/756,foro revista de ciencias juridicas y sociales. nuevaepoca,,
Gazeta de Antropologia,GAZ ANTROPOL,2340-2792,2340-2792,0.1,0.3,ANTHROPOLOGY,Q4,131/139,gazeta de antropologia,,
GEORGIA REVIEW,GEORGIA REV,0016-8386,,0.1,,LITERARY REVIEWS,N/A,N/A,georgia review,,GEORGIA
GREAT PLAINS QUARTERLY,GREAT PLAINS QUART,0275-7664,2333-5092,0.1,0.4,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,great plains quarterly,,GREAT
Historiografias-Revista de Historia y Teoria,HISTORIOGRAFIAS,2174-4289,2174-4289,0.1,0.1,HISTORY,Q3,327/518,historiografias revista de historia y teoria,,
HUDSON REVIEW,HUDSON REV,0018-702X,2325-5935,0.1,<0.1,LITERARY REVIEWS,N/A,N/A,hudson review,,HUDSON
INSULA-REVISTA DE LETRAS Y CIENCIAS HUMANAS,INSULA,0020-4536,,0.1,0.1,LITERARY THEORY & CRITICISM,N/A,N/A,insula revista de letras y ciencias humanas,,INSULA
LIBRARY AND INFORMATION SCIENCE,LIBR INFORM SC,0373-4447,0373-4447,0.1,0.2,INFORMATION SCIENCE & LIBRARY SCIENCE,Q4,150/160,library and information science,,
Llengua & Literatura,LLENG LIT,0213-6554,2013-9527,0.1,<0.1,LINGUISTICS,Q4,278/297,llengua and literatura,,
Materia Arquitectura,MATER ARQUIT,0718-7033,0718-7033,0.1,<0.1,ARCHITECTURE,N/A,N/A,materia arquitectura,,
Medisur-Revista de Ciencias Medicas de Cienfuegos,MEDISUR-REV CIENC ME,1727-897X,1727-897X,0.1,0.2,"MEDICINE, GENERAL & INTERNAL",Q4,300/325,medisur revista de ciencias medicas de cienfuegos,,
Pensamiento al Margen,PENSAM MARGEN,2386-6098,2386-6098,0.1,0.1,POLITICAL SCIENCE,Q4,289/317,pensamiento al margen,,
Revista de Hispanismo Filosofico,REV HISP FILOS,1136-8071,1136-8071,0.1,0.1,PHILOSOPHY,N/A,N/A,revista de hispanismo filosofico,,
Revue Archeologique du Centre de la France,REV ARCHEOL CENT FR,1951-6207,1951-6207,0.1,<0.1,ARCHAEOLOGY,N/A,N/A,revue archeologique du centre de la france,,
Sala Preta,SALA PRETA,2238-3867,2238-3867,0.1,0.1,THEATER,N/A,N/A,sala preta,,
SALMAGUNDI-A QUARTERLY OF THE HUMANITIES AND SOCIAL SCIENCES,SALMAGUNDI,0036-3529,,0.1,0.1,LITERARY REVIEWS,N/A,N/A,salmagundi a quarterly of the humanities and social sciences,,SALMAGUNDI
Veredas-Revista da Associacao Internacional de Lusitanistas,VEREDAS,0874-5102,,0.1,<0.1,"LITERATURE, ROMANCE",N/A,N/A,veredas revista da associacao internacional de lusitanistas,,
Pediatria i Medycyna Rodzinna-Paediatrics and Family Medicine,PEDIATR MED RODZ,1734-1531,2451-0742,<0.1,0.6,PEDIATRICS,Q4,184/186,pediatria i medycyna rodzinna paediatrics and family medicine,,
Romanica Olomucensia,ROMANICA OLOMUC,1803-4136,2571-0966,<0.1,0.2,"LITERATURE, ROMANCE",N/A,N/A,romanica olomucensia,,
Missouri Review,MISSOURI REV,0191-1961,1548-9930,<0.1,<0.1,LITERARY REVIEWS,N/A,N/A,missouri review,,
Scrutiny2-Issues in English Studies in Southern Africa,SCRUTINY2,1812-5441,1753-5409,<0.1,0.2,LITERATURE,N/A,N/A,scrutiny2 issues in english studies in southern africa,,
Zeitschrift fur Katalanistik,Z KATALAN,0932-2221,,<0.1,0.1,"LITERATURE, ROMANCE",N/A,N/A,zeitschrift fur katalanistik,,
Carte Romanze,CARTE ROMANZ,2282-7447,2282-7447,<0.1,<0.1,"LITERATURE, ROMANCE",N/A,N/A,carte romanze,,
OXFORD GERMAN STUDIES,OXFORD GER STUD,0078-7191,1745-9214,<0.1,0.1,"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",N/A,N/A,oxford german studies,,OXFORD
Etudes Romanes de Brno,ETUDES ROMANES BRNO,1803-7399,2336-4416,<0.1,0.1,"LITERATURE, ROMANCE",N/A,N/A,etudes romanes de brno,,
WALLACE STEVENS JOURNAL,WALLACE STEVENS J,0148-7132,2160-0570,<0.1,0.1,POETRY,N/A,N/A,wallace stevens journal,,WALLACE
Ben Jonson Journal,BEN JONSON J,1079-3453,1755-165X,<0.1,0.1,"LITERATURE, BRITISH ISLES",N/A,N/A,ben jonson journal,,
Anales Galdosianos,AN GALDOS,0569-9924,2161-301X,<0.1,0.1,"LITERATURE, ROMANCE",N/A,N/A,anales galdosianos,,
COLLEGE LITERATURE,COLL LITERATURE,0093-3139,1542-4286,<0.1,0.2,LITERATURE,N/A,N/A,college literature,,
ROMANISCHE FORSCHUNGEN,ROMAN FORSCH,0035-8126,1864-0737,<0.1,0.1,"LITERATURE, ROMANCE",N/A,N/A,romanische forschungen,,
Symbolae Osloenses,SYMB OSLO,0039-7679,1502-7805,<0.1,0.1,CLASSICS,N/A,N/A,symbolae osloenses,,
Arizona Quarterly,ARIZ Q,0004-1610,1558-9595,<0.1,0.4,"LITERATURE, AMERICAN",N/A,N/A,arizona quarterly,,
Nordic Theatre Studies,NORD THEATRE STUD,0904-6380,2002-3898,<0.1,0.1,THEATER,N/A,N/A,nordic theatre studies,,
Revista Hispanica Moderna,REV HISPAN MOD,0034-9593,1944-6446,<0.1,0.2,"LITERATURE, ROMANCE",N/A,N/A,revista hispanica moderna,,
Manoa-A Pacific Journal of International Writing,MANOA,1045-7909,1527-943X,<0.1,0.1,LITERARY REVIEWS,N/A,N/A,manoa a pacific journal of international writing,,
ROMANCE NOTES,ROMANCE NOTES,0035-7995,2165-7599,<0.1,0.1,"LITERATURE, ROMANCE",N/A,N/A,romance notes,,ROMANCE
F Scott Fitzgerald Review,F SCOTT FITZGERALD R,1543-3951,1755-6333,<0.1,<0.1,"LITERATURE, AMERICAN",N/A,N/A,f scott fitzgerald review,,
RIVISTA DI LETTERATURA STORIOGRAFICA ITALIANA,RIV LETT STOR ITAL,2532-9626,2611-2787,<0.1,,"LITERATURE, ROMANCE",N/A,N/A,rivista di letteratura storiografica italiana,,
Cogent Mathematics & Statistics,COGENT MATH STAT,,2574-2558,<0.1,0.9,STATISTICS & PROBABILITY,Q4,168/168,cogent mathematics and statistics,,
In Situ-Revue de Patrimoines,IN SITU-REV PATRIMOI,1630-7305,1630-7305,<0.1,<0.1,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,in situ revue de patrimoines,,
Studies in American Jewish Literature,STUD AM JEW LIT,0271-9274,1948-5077,<0.1,0.4,"LITERATURE, AMERICAN",N/A,N/A,studies in american jewish literature,,
Vizantiiskii Vremennik,VIZ VREM,0132-3776,,<0.1,0.1,MEDIEVAL & RENAISSANCE STUDIES,N/A,N/A,vizantiiskii vremennik,,
Exemplaria Classica,EX CLASS,1699-3225,2173-6839,<0.1,<0.1,CLASSICS,N/A,N/A,exemplaria classica,,
Technoetic Arts,TECHNOETIC ARTS,1477-965X,1758-9533,<0.1,0.2,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,technoetic arts,,
ETUDES FRANCAISES,ETUD FR,0014-2085,1492-1405,<0.1,0.1,"LITERATURE, ROMANCE",N/A,N/A,etudes francaises,,
Trans-Revista Transcultural de Musica,TRANS-REV TRANSCULT,1697-0101,1697-0101,<0.1,0.1,MUSIC,N/A,N/A,trans revista transcultural de musica,,
SLAVIC AND EAST EUROPEAN JOURNAL,SLAVIC E EUR J,0037-6752,0037-6752,<0.1,0.1,"LITERATURE, SLAVIC",N/A,N/A,slavic and east european journal,,SLAVIC
MEDIUM AEVUM,MEDIUM AEVUM,0025-8385,,<0.1,0.1,MEDIEVAL & RENAISSANCE STUDIES,N/A,N/A,medium aevum,,MEDIUM
Micrologus-Nature Science and Medieval Societies,MICROLOGUS,1123-2560,1123-2560,<0.1,0.1,MEDIEVAL & RENAISSANCE STUDIES,N/A,N/A,micrologus nature science and medieval societies,,
MISSISSIPPI QUARTERLY,MISS QUART,0026-637X,2689-517X,<0.1,0.1,LITERARY THEORY & CRITICISM,N/A,N/A,mississippi quarterly,,
Langston Hughes Review,LANGSTON HUGHES REV,0737-0555,2576-649X,<0.1,,"LITERATURE, AMERICAN",N/A,N/A,langston hughes review,,
Revista de Historia das Ideias,REV HIST IDEIAS,0870-0958,2183-8925,<0.1,0.1,HISTORY,Q4,450/518,revista de historia das ideias,,
Estudios de Teoria Literaria-Revista Digital-Artes Letras Humanidades,ESTUD TEOR LIT,2313-9676,2313-9676,<0.1,<0.1,LITERARY THEORY & CRITICISM,N/A,N/A,estudios de teoria literaria revista digital artes letras humanidades,,
ZEITSCHRIFT FUR GERMANISTIK,Z GERMANISTIK,0323-7982,,<0.1,0.1,"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",N/A,N/A,zeitschrift fur germanistik,,
Nashim-A Journal of Jewish Womens Studies & Gender Issues,NASHIM,0793-8934,1565-5288,<0.1,0.4,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,nashim a journal of jewish womens studies and gender issues,,
ATHENAEUM-STUDI PERIODICI DI LETTERATURA E STORIA DELL ANTICHITA,ATHENAEUM,0004-6574,0004-6574,<0.1,0.2,CLASSICS,N/A,N/A,athenaeum studi periodici di letteratura e storia dell antichita,,ATHENAEUM
Journal of Modern Chinese History,J MOD CHIN HIST,1753-5654,1753-5662,<0.1,0.3,HISTORY,Q4,450/518,journal of modern chinese history,,
"International Journal for History, Culture and Modernity",INT J HIST CULT MOD,2666-6529,2213-0624,<0.1,,HISTORY,Q4,450/518,"international journal for history, culture and modernity",,
KEATS-SHELLEY REVIEW,KEATS-SHELLEY REV,0952-4142,2042-1362,<0.1,<0.1,POETRY,N/A,N/A,keats shelley review,,
Limite-Revista de Estudios Portugueses y de la Lusofonia,LIMITE,1888-4067,2253-7929,<0.1,0.1,"LITERATURE, ROMANCE",N/A,N/A,limite revista de estudios portugueses y de la lusofonia,,
ROMANCE PHILOLOGY,ROMANCE PHILOL,0035-8002,2295-9017,<0.1,0.1,"LITERATURE, ROMANCE",N/A,N/A,romance philology,,ROMANCE
MONUMENTA NIPPONICA,MONUM NIPPON,0027-0741,1880-1390,<0.1,0.3,ASIAN STUDIES,N/A,N/A,monumenta nipponica,,
Nka-Journal of Contemporary African Art,NKA,1075-7163,2152-7792,<0.1,0.3,ART,N/A,N/A,nka journal of contemporary african art,,
TEXAS STUDIES IN LITERATURE AND LANGUAGE,TEX STUD LIT LANG,0040-4691,1534-7303,<0.1,0.3,LITERATURE,N/A,N/A,texas studies in literature and language,,
NEUE RUNDSCHAU,NEUE RUNDSCH,0028-3347,,<0.1,<0.1,LITERARY REVIEWS,N/A,N/A,neue rundschau,,NEUE
FAMILY & COMMUNITY HISTORY,FAM COMMUNITY HIST,1463-1180,1751-3812,<0.1,0.2,HISTORY,Q4,450/518,family and community history,,
HENRY JAMES REVIEW,HENRY JAMES REV,0273-0340,1080-6555,<0.1,0.2,"LITERATURE, BRITISH ISLES",N/A,N/A,henry james review,,HENRY
ROMANISTISCHE ZEITSCHRIFT FUR LITERATURGESCHICHTE-CAHIERS D HISTOIRE DES LITTERATURES ROMANES,ROMAN Z LIT-CAH HIST,0343-379X,2509-7474,<0.1,<0.1,"LITERATURE, ROMANCE",N/A,N/A,romanistische zeitschrift fur literaturgeschichte cahiers d histoire des litteratures romanes,,
American Periodicals,AM PERIOD,1054-7479,1548-4238,<0.1,0.4,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,american periodicals,,
CESKA LITERATURA,CESK LIT,0009-0468,2571-094X,<0.1,0.1,"LITERATURE, SLAVIC",N/A,N/A,ceska literatura,,
Journal of Visual Art and Design,J VIS ART DES,2337-5795,2338-5480,<0.1,0.3,ART,N/A,N/A,journal of visual art and design,,
Literary Voice,LIT VOICE,2277-4521,2583-8199,<0.1,<0.1,LITERARY THEORY & CRITICISM,N/A,N/A,literary voice,,
Mechanical Engineering Reviews,MECH ENG REV,2187-9753,2187-9753,<0.1,6.0,"ENGINEERING, MECHANICAL",Q4,180/180,mechanical engineering reviews,,
Codex Aquilarensis,CODEX AQUILAR,0214-896X,2386-6454,<0.1,0.1,MEDIEVAL & RENAISSANCE STUDIES,N/A,N/A,codex aquilarensis,,
MIDWEST QUARTERLY-A JOURNAL OF CONTEMPORARY THOUGHT,MIDWEST QUART,0026-3451,0026-3451,<0.1,0.2,LITERARY THEORY & CRITICISM,N/A,N/A,midwest quarterly a journal of contemporary thought,,MIDWEST
PRINT QUARTERLY,PRINT Q,0265-8305,,<0.1,0.1,ART,N/A,N/A,print quarterly,,PRINT
QUADERNI URBINATI DI CULTURA CLASSICA,QUAD URBIN CULT CLAS,0033-4987,1724-1901,<0.1,<0.1,CLASSICS,N/A,N/A,quaderni urbinati di cultura classica,,
Rivista di Filologia e di Istruzione Classica,RIV FILOL ISTR CLASS,0035-6220,0035-6220,<0.1,0.1,CLASSICS,N/A,N/A,rivista di filologia e di istruzione classica,,
Vernacular Architecture,VERNAC ARCHIT,0305-5477,1749-6292,<0.1,,ARCHITECTURE,N/A,N/A,vernacular architecture,,
Haser-Revista Internacional de Filosofia Aplicada,HASER,2172-055X,2386-4761,<0.1,<0.1,PHILOSOPHY,N/A,N/A,haser revista internacional de filosofia aplicada,,
CRITICA-REVISTA HISPANOAMERICANA DE FILOSOFIA,CRITICA,0011-1503,1870-4905,<0.1,0.1,PHILOSOPHY,N/A,N/A,critica revista hispanoamericana de filosofia,,CRITICA
Madrygal-Revista de Estudios Gallegos,MADRYGAL,1138-9664,1988-3285,<0.1,0.1,"LITERATURE, ROMANCE",N/A,N/A,madrygal revista de estudios gallegos,,
Austrian Studies,AUSTRIAN STUD,1350-7532,2222-4262,<0.1,0.1,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,austrian studies,,
Cedille-Revista de Estudios Franceses,CEDILLE,1699-4949,1699-4949,<0.1,0.1,"LITERATURE, ROMANCE",N/A,N/A,cedille revista de estudios franceses,,
Herald of an Archivist,HER ARCH,2073-0101,2073-0101,<0.1,<0.1,HISTORY,Q4,450/518,herald of an archivist,,
Deltion of the Christian Archaeological Society,DELTION CHRIST ARCHA,1105-5758,2241-2190,<0.1,0.1,MEDIEVAL & RENAISSANCE STUDIES,N/A,N/A,deltion of the christian archaeological society,,
Knjizevna Smotra,KJNIZEV SMOTRA,0455-0463,2459-6329,<0.1,<0.1,"LITERATURE, SLAVIC",N/A,N/A,knjizevna smotra,,
PENNSYLVANIA MAGAZINE OF HISTORY AND BIOGRAPHY,PENN MAG HIST BIOG,0031-4587,2169-8546,<0.1,<0.1,HISTORY,Q4,450/518,pennsylvania magazine of history and biography,,
Edith Wharton Review,EDITH WHARTON REV,2330-3964,2330-3980,<0.1,<0.1,"LITERATURE, AMERICAN",N/A,N/A,edith wharton review,,
NURSING HISTORY REVIEW,NURS HIST REV,1062-8061,1938-1913,<0.1,0.2,HISTORY,Q4,450/518,nursing history review,,
Filologia Mediolatina,FILOL MEDIOLAT,1124-0008,,<0.1,<0.1,MEDIEVAL & RENAISSANCE STUDIES,N/A,N/A,filologia mediolatina,,
MASTER DRAWINGS,MASTER DRAWINGS,0025-5025,,<0.1,0.1,ART,N/A,N/A,master drawings,,MASTER
VIATOR-MEDIEVAL AND RENAISSANCE STUDIES,VIATOR-MEDIEV REN,0083-5897,2031-0234,<0.1,0.2,MEDIEVAL & RENAISSANCE STUDIES,N/A,N/A,viator medieval and renaissance studies,,
ARCHIV FUR REFORMATIONSGESCHICHTE-ARCHIVE FOR REFORMATION HISTORY,ARCH REFORMATIONSGES,0003-9381,2198-0489,<0.1,<0.1,HISTORY,Q4,450/518,archiv fur reformationsgeschichte archive for reformation history,,
First Peoples Child & Family Review,FIRST PEOPLES CHILD,1708-489X,1708-489X,<0.1,0.8,FAMILY STUDIES,Q4,66/66,first peoples child and family review,,
JAHRBUCH FUR INTERNATIONALE GERMANISTIK,JAHRB INT GERMAN,0449-5233,2235-1280,<0.1,0.1,"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",N/A,N/A,jahrbuch fur internationale germanistik,,
Revue LISA-LISA E-Journal,REV LISA-LISA E-J,1762-6153,1762-6153,<0.1,0.1,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,revue lisa lisa e journal,,
CEA CRITIC,CEA CRITIC,0007-8069,2327-5898,<0.1,0.1,LITERATURE,N/A,N/A,cea critic,,CEA
Current Writing-Text and Reception in Southern Africa,CURR WRIT,1013-929X,2159-9130,<0.1,0.1,LITERATURE,N/A,N/A,current writing text and reception in southern africa,,
Humanitas-Portugal,HUMANITAS-PORT,0871-1569,2183-1718,<0.1,<0.1,CLASSICS,N/A,N/A,humanitas portugal,,
Journal of Reformed Theology,J REFORM THEOL,1872-5163,1569-7312,<0.1,0.2,RELIGION,N/A,N/A,journal of reformed theology,,
Rivista Storica Dell Antichita,RIV STOR ANTICH,0300-340X,,<0.1,<0.1,HISTORY,Q4,450/518,rivista storica dell antichita,,
SCHWEIZERISCHES ARCHIV FUR VOLKSKUNDE,SCHWEIZ ARCH VOLKSKU,0036-794X,,<0.1,0.1,FOLKLORE,N/A,N/A,schweizerisches archiv fur volkskunde,,
European Journal of Scandinavian Studies,EUR J SCAND STUD,2191-9399,2191-9402,<0.1,<0.1,"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",N/A,N/A,european journal of scandinavian studies,,
Frontiers of History in China,FRONT HIST CHINA,1673-3401,1673-3525,<0.1,0.3,HISTORY,Q4,450/518,frontiers of history in china,,
Journal of Chinese Military History,J CHINESE MIL HIST,2212-7445,2212-7453,<0.1,,HISTORY,Q4,450/518,journal of chinese military history,,
Journal of the Australian Early Medieval Association,J AUST EARLY MEDIEV,1449-9320,2207-2802,<0.1,,MEDIEVAL & RENAISSANCE STUDIES,N/A,N/A,journal of the australian early medieval association,,
Rhythmica-Revista Espanola de Metrica Comparada,RHYTHMICA,1696-5744,1696-5744,<0.1,,"LITERATURE, ROMANCE",N/A,N/A,rhythmica revista espanola de metrica comparada,,
COLOQUIO-LETRAS,COLOQUIO-LETRAS,0010-1451,0010-1451,<0.1,<0.1,"LITERATURE, ROMANCE",N/A,N/A,coloquio letras,,
Ignaziana-Rivista di Ricerca Teologica,IGNAZIANA,1828-2377,,<0.1,<0.1,RELIGION,N/A,N/A,ignaziana rivista di ricerca teologica,,
Letteratura e Letterature,LETT LETT,1971-906X,1973-2600,<0.1,<0.1,LITERATURE,N/A,N/A,letteratura e letterature,,
MONTANA-THE MAGAZINE OF WESTERN HISTORY,MONTANA,0026-9891,2328-4293,<0.1,0.1,HISTORY,Q4,450/518,montana the magazine of western history,,MONTANA
Multicultural Shakespeare-Translation Appropriation and Performance,MULTICULT SHAKESPEAR,2083-8530,2300-7605,<0.1,0.1,"LITERATURE, BRITISH ISLES",N/A,N/A,multicultural shakespeare translation appropriation and performance,,
Short Film Studies,SHORT FILM STUD,2042-7824,2042-7832,<0.1,<0.1,"FILM, RADIO, TELEVISION",N/A,N/A,short film studies,,
Acta Literaria,ACTA LIT,0717-6848,0717-6848,<0.1,<0.1,"LITERATURE, ROMANCE",N/A,N/A,acta literaria,,
Feministische Studien,FEMINISTISCHE STUD,0723-5186,2365-9920,<0.1,0.2,WOMENS STUDIES,Q4,64/66,feministische studien,,
GERMANISCH-ROMANISCHE MONATSSCHRIFT,GER-ROMAN MONATSSCHR,0016-8904,0016-8904,<0.1,0.1,LITERATURE,N/A,N/A,germanisch romanische monatsschrift,,
Jahrbuch der Oesterreichischen Byzantinistik,JAHRB OESTERR BYZANT,0378-8660,1810-536X,<0.1,,MEDIEVAL & RENAISSANCE STUDIES,N/A,N/A,jahrbuch der oesterreichischen byzantinistik,,
GIORNALE STORICO DELLA LETTERATURA ITALIANA,GIORN STORICO LETT,0017-0496,0017-0496,<0.1,0.1,"LITERATURE, ROMANCE",N/A,N/A,giornale storico della letteratura italiana,,
Studia Slavica et Balcanica Petropolitana,STUD SLAV BALC PETRO,1995-848X,1995-848X,<0.1,0.1,HISTORY,Q4,450/518,studia slavica et balcanica petropolitana,,
WINTERTHUR PORTFOLIO-A JOURNAL OF AMERICAN MATERIAL CULTURE,WINTERTHUR PORTFOLIO,0084-0416,1545-6927,<0.1,0.1,ART,N/A,N/A,winterthur portfolio a journal of american material culture,,WINTERTHUR
Medieval Sermon Studies,MEDIEV SERMON STUD,1366-0691,1749-6276,<0.1,<0.1,RELIGION,N/A,N/A,medieval sermon studies,,
Revista de Letras,REV LET,0101-3505,1981-7886,<0.1,0.1,LITERARY THEORY & CRITICISM,N/A,N/A,revista de letras,,
Studies in Comics,STUD COMICS,2040-3232,2040-3240,<0.1,0.2,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,studies in comics,,
