JCR_Position,Name,JCR Year,Abbr Name,Publisher,ISSN,EISSN,Total Cites,Total Articles,Citable Items,Cited Half-Life,Citing Half-Life,JIF,JIF5Years,JIF_NoSelfCite,JCI,Area,Rank,Normalized Journal,Journal_Abbreviation,SJR_Score,SJR_Quartile,H_Index,SJR_Categories,SJR_Areas
12283.0,SEMIOTICA,2024.0,SEMIOTICA,WALTER DE GRUYTER GMBH,0037-1998,1613-3692,1441.0,50.0,52.0,19.5,14.6,1.2,0.6,0.7,1.2,Q2,114/271,semiotica,Semiotica,0.277,Q1,42.0,Literature and Literary Theory (Q1); Linguistics and Language (Q2),Arts and Humanities; Social Sciences
12283.0,EMS Surveys in Mathematical Sciences,2024.0,EMS SURV MATH SCI,EUROPEAN MATHEMATICAL SOC-EMS,2308-2151,2308-216X,213.0,6.0,6.0,6.5,13.4,1.2,2.3,1.2,1.19,Q1,84/483,ems surveys in mathematical sciences,EMS Surv. Math. Sci.,1.516,Q1,7.0,Mathematics (miscellaneous) (Q1),Mathematics
12283.0,JOURNAL OF COMBINATORIAL THEORY SERIES B,2024.0,J COMB THEORY B,ACADEMIC PRESS INC ELSEVIER SCIENCE,0095-8956,1096-0902,3840.0,74.0,74.0,22.4,17.6,1.2,1.3,1.1,1.19,Q1,84/483,journal of combinatorial theory series b,J. Comb. Theory Ser. B,,,,,
12283.0,Ardeola-International Journal of Ornithology,2024.0,ARDEOLA,SOC ESPANOLA ORNITOLGIA,0570-7358,2341-0825,550.0,18.0,19.0,10.6,12.6,1.2,1.3,1.1,1.17,Q2,11/29,ardeola international journal of ornithology,Ardeola,,,,,
12283.0,Journal of Behavioral Education,2024.0,J BEHAV EDUC,SPRINGER,1053-0819,1573-3513,1097.0,37.0,37.0,8.2,9.3,1.2,2.0,1.1,1.16,Q3,38/62,journal of behavioral education,J. Behav. Educ.,0.839,Q1,45.0,Education (Q1); Developmental and Educational Psychology (Q2),Psychology; Social Sciences
12283.0,LEARNING DISABILITY QUARTERLY,2024.0,LEARN DISABILITY Q,SAGE PUBLICATIONS INC,0731-9487,2168-376X,1036.0,13.0,15.0,11.5,10.5,1.2,2.3,1.2,1.16,Q3,38/62,learning disability quarterly,Learn. Disability Q.,0.746,Q1,60.0,Education (Q1); Health Professions (miscellaneous) (Q1); Behavioral Neuroscience (Q3),Health Professions; Neuroscience; Social Sciences
12283.0,Lithic Technology,2024.0,LITHIC TECHNOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0197-7261,2051-6185,494.0,22.0,22.0,8.9,13.7,1.2,1.3,1.1,1.16,Q2,48/141,lithic technology,Lithic Technol.,0.821,Q1,18.0,Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1),Arts and Humanities; Social Sciences
12283.0,European Company and Financial Law Review,2024.0,EUR CO FINANC LAW R,WALTER DE GRUYTER GMBH,1613-2548,1613-2556,224.0,24.0,24.0,4.7,9.5,1.2,0.9,1.1,1.14,Q2,118/434,european company and financial law review,Eur. Co. Financ. Law R.,0.387,Q1,8.0,"Law (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2)","Economics, Econometrics and Finance; Social Sciences"
12283.0,JOURNAL OF LINGUISTICS,2024.0,J LINGUIST,CAMBRIDGE UNIV PRESS,0022-2267,1469-7742,1138.0,29.0,29.0,17.9,17.2,1.2,1.7,1.2,1.14,Q2,114/303,journal of linguistics,J. Linguist.,0.638,Q1,48.0,Linguistics and Language (Q1); Philosophy (Q1),Arts and Humanities; Social Sciences
12283.0,Research in the Mathematical Sciences,2024.0,RES MATH SCI,SPRINGER INT PUBL AG,2522-0144,2197-9847,554.0,68.0,68.0,4.9,17.8,1.2,1.4,1.1,1.13,Q1,84/483,research in the mathematical sciences,Res. Math. Sci.,,,,,
12283.0,Iranian Journal of Fuzzy Systems,2024.0,IRAN J FUZZY SYST,UNIV SISTAN & BALUCHESTAN,1735-0654,2676-4334,821.0,66.0,66.0,5.3,8.1,1.2,1.1,1.0,1.12,Q1,84/483,iranian journal of fuzzy systems,Iran. J. Fuzzy Syst.,0.433,Q2,37.0,Information Systems and Management (Q2); Mathematics (miscellaneous) (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3),Computer Science; Decision Sciences; Mathematics
12283.0,CULTURAL STUDIES,2024.0,CULT STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0950-2386,1466-4348,2954.0,36.0,36.0,17.2,9.9,1.2,1.8,1.2,1.11,Q2,17/64,cultural studies,Cult. Stud.,0.927,Q1,62.0,Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); Social Sciences (miscellaneous) (Q1),Arts and Humanities; Social Sciences
12283.0,ICSID Review-Foreign Investment Law Journal,2024.0,ICSID REV,OXFORD UNIV PRESS,0258-3690,2049-1999,311.0,31.0,31.0,6.7,9.5,1.2,1.2,1.0,1.1,Q2,118/434,icsid review foreign investment law journal,Icsid Rev.,,,,,
12283.0,Journal de l Ecole Polytechnique-Mathematiques,2024.0,J ECOLE POLYTECH-MAT,ECOLE POLYTECHNIQUE,2429-7100,2270-518X,328.0,34.0,34.0,4.5,16.6,1.2,1.3,1.2,1.1,Q1,84/483,journal de l ecole polytechnique mathematiques,J. Ecole Polytech.-Mat.,,,,,
12283.0,Interpreter and Translator Trainer,2024.0,INTERPRET TRANSL TRA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1750-399X,1757-0417,486.0,31.0,31.0,7.1,10.3,1.2,1.5,1.1,1.08,Q2,114/303,interpreter and translator trainer,Interpret. Transl. Tra.,1.005,Q1,32.0,Education (Q1); Linguistics and Language (Q1),Social Sciences
12283.0,INDIANA UNIVERSITY MATHEMATICS JOURNAL,2024.0,INDIANA U MATH J,INDIANA UNIV MATH JOURNAL,0022-2518,1943-5258,4420.0,55.0,55.0,24.0,15.6,1.2,1.2,1.2,1.06,Q1,84/483,indiana university mathematics journal,Indiana Univ. Math. J.,1.272,Q1,73.0,Mathematics (miscellaneous) (Q1),Mathematics
12283.0,Reading & Writing Quarterly,2024.0,READ WRIT Q,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1057-3569,1521-0693,1017.0,23.0,23.0,8.7,10.8,1.2,1.9,1.2,1.06,Q2,372/756,reading and writing quarterly,Read. Writ. Q.,0.728,Q1,43.0,Education (Q1); Linguistics and Language (Q1),Social Sciences
12283.0,UNIVERSITY OF ILLINOIS LAW REVIEW,2024.0,U ILLINOIS LAW REV,UNIV ILLINOIS,0276-9948,1942-9231,841.0,43.0,43.0,11.5,9.0,1.2,1.0,1.1,1.05,Q2,118/434,university of illinois law review,U. Illinois Law Rev.,0.15,Q3,35.0,Law (Q3),Social Sciences
12283.0,International Journal of Educational Research and Innovation,2024.0,INT J EDUC RES INNOV,"UNIV PABLO OLAVIDE, FAC CIENCIAS SOCIALES",2386-4303,2386-4303,261.0,16.0,18.0,3.9,4.8,1.2,1.1,0.9,1.04,Q2,372/756,international journal of educational research and innovation,Int. J. Educ. Res. Innov.,0.478,Q2,14.0,Education (Q2),Social Sciences
12283.0,Psychomusicology,2024.0,PSYCHOMUSICOLOGY,AMER PSYCHOLOGICAL ASSOC,0275-3987,2162-1535,331.0,0.0,0.0,8.4,,1.2,1.5,1.2,1.04,Q4,90/102,psychomusicology,Psychomusicology,,,,,
12283.0,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,2024.0,T AM MATH SOC,AMER MATHEMATICAL SOC,0002-9947,1088-6850,18685.0,241.0,241.0,31.2,18.1,1.2,1.3,1.1,1.04,Q1,84/483,transactions of the american mathematical society,Trans. Am. Math. Soc.,1.581,Q1,104.0,Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1),Mathematics
12283.0,Bulletin of the Malaysian Mathematical Sciences Society,2024.0,B MALAYS MATH SCI SO,SPRINGERNATURE,0126-6705,2180-4206,2003.0,184.0,185.0,4.8,11.8,1.2,1.2,1.1,1.02,Q1,84/483,bulletin of the malaysian mathematical sciences society,Bull. Malays. Math. Sci. Soc.,0.508,Q2,36.0,Mathematics (miscellaneous) (Q2),Mathematics
12283.0,Tel Aviv-Journal of the Institute of Archaeology of Tel Aviv University,2024.0,TEL AVIV,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0334-4355,2040-4786,383.0,13.0,13.0,14.1,20.3,1.2,1.0,1.2,1.01,,,tel aviv journal of the institute of archaeology of tel aviv university,Tel Aviv,,,,,
12283.0,COMMUNICATIONS IN CONTEMPORARY MATHEMATICS,2024.0,COMMUN CONTEMP MATH,WORLD SCIENTIFIC PUBL CO PTE LTD,0219-1997,1793-6683,1684.0,72.0,72.0,7.7,15.7,1.2,1.2,1.2,1.0,Q1,84/483,communications in contemporary mathematics,Commun. Contemp. Math.,1.264,Q1,50.0,Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1),Mathematics
12283.0,JOURNAL OF INTELLECTUAL & DEVELOPMENTAL DISABILITY,2024.0,J INTELLECT DEV DIS,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1366-8250,1469-9532,1737.0,39.0,41.0,11.2,8.6,1.2,1.9,1.2,1.0,Q3,38/62,journal of intellectual and developmental disability,J. Intellect. Dev. Dis.,0.628,Q1,65.0,Arts and Humanities (miscellaneous) (Q1); Education (Q2); Medicine (miscellaneous) (Q2); Psychology (miscellaneous) (Q2),Arts and Humanities; Medicine; Psychology; Social Sciences
12283.0,Seminars in Plastic Surgery,2024.0,SEMIN PLAST SURG,THIEME MEDICAL PUBL INC,1535-2188,1536-0067,1966.0,41.0,42.0,8.7,9.4,1.2,3.8,1.1,1.0,Q3,204/312,seminars in plastic surgery,Semin. Plast. Surg.,0.664,Q2,40.0,Surgery (Q2),Medicine
12283.0,JOURNAL OF COMBINATORIAL THEORY SERIES A,2024.0,J COMB THEORY A,ACADEMIC PRESS INC ELSEVIER SCIENCE,0097-3165,1096-0899,3776.0,84.0,84.0,18.7,16.8,1.2,1.2,1.1,0.99,Q1,84/483,journal of combinatorial theory series a,J. Comb. Theory Ser. A,1.329,Q1,58.0,Computational Theory and Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1); Theoretical Computer Science (Q1),Computer Science; Mathematics
12283.0,JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES,2024.0,J LOND MATH SOC,WILEY,0024-6107,1469-7750,5036.0,179.0,179.0,28.9,16.1,1.2,1.2,1.1,0.97,Q1,84/483,journal of the london mathematical society second series,J. Lond. Math. Soc.,,,,,
12283.0,Research in Learning Technology,2024.0,RES LEARN TECHNOL,ASSOC LEARNING TECHNOLOGY-ALT,2156-7069,2156-7077,913.0,17.0,18.0,7.0,7.2,1.2,2.1,1.1,0.97,Q2,372/756,research in learning technology,Res. Learn. Technol.,0.771,Q1,37.0,Education (Q1); Computer Science Applications (Q2),Computer Science; Social Sciences
12283.0,English Today,2024.0,ENGL TODAY,CAMBRIDGE UNIV PRESS,0266-0784,1474-0567,637.0,18.0,18.0,10.5,9.8,1.2,1.2,1.2,0.96,Q2,114/303,english today,Engl. Today,0.725,Q1,38.0,Linguistics and Language (Q1),Social Sciences
12283.0,European Law Review,2024.0,EUR LAW REV,SWEET MAXWELL LTD,0307-5400,,440.0,35.0,35.0,8.7,6.2,1.2,0.7,1.1,0.96,Q2,118/434,european law review,Eur. Law Rev.,0.264,Q2,27.0,Law (Q2),Social Sciences
12283.0,Iberica,2024.0,IBERICA,AELFE,1139-7241,2340-2784,367.0,26.0,27.0,7.6,11.3,1.2,1.4,1.1,0.96,Q2,114/303,iberica,Iberica,0.414,Q1,26.0,Linguistics and Language (Q1),Social Sciences
12283.0,International Journal of School & Educational Psychology,2024.0,INT J SCH EDUC PSYCH,TAYLOR & FRANCIS LTD,2168-3603,2168-3611,555.0,16.0,17.0,4.9,9.0,1.2,,1.2,0.96,Q2,372/756,international journal of school and educational psychology,Int. J. Sch. Educ. Psych.,0.703,Q2,21.0,Developmental and Educational Psychology (Q2); Education (Q2),Psychology; Social Sciences
12283.0,Journal of Logical and Algebraic Methods in Programming,2024.0,J LOG ALGEBR METHODS,ELSEVIER SCIENCE INC,2352-2208,2352-2216,446.0,42.0,42.0,4.5,11.3,1.2,1.1,0.9,0.96,Q1,1/27,journal of logical and algebraic methods in programming,J. Logical Algebraic Methods Program.,0.577,Q2,21.0,Computational Theory and Mathematics (Q2); Logic (Q2); Software (Q2); Theoretical Computer Science (Q2),Computer Science; Mathematics
12283.0,Allergy & Rhinology,2024.0,ALLERGY RHINOL,SAGE PUBLICATIONS INC,2152-6567,2152-6567,354.0,0.0,0.0,7.8,,1.2,1.5,1.2,0.95,Q3,40/67,allergy and rhinology,Allergy Rhinol.,0.516,Q2,15.0,Otorhinolaryngology (Q2); Immunology and Allergy (Q3),Medicine
12283.0,Information Geometry,2024.0,INFORM GEOM,SPRINGERNATURE,2511-2481,2511-249X,147.0,64.0,65.0,2.6,16.3,1.2,,0.6,0.95,Q1,84/483,information geometry,Inf. Geom.,0.387,Q3,9.0,Applied Mathematics (Q3); Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Geometry and Topology (Q3); Statistics and Probability (Q3),Computer Science; Mathematics
12283.0,Avicenna,2024.0,AVICENNA,HAMAD BIN KHALIFA UNIV PRESS,2220-2749,2220-2749,62.0,7.0,7.0,,5.8,1.2,1.5,1.1,0.94,Q4,107/124,avicenna,Avicenna,,,,,
12283.0,Gender and Language,2024.0,GENDER LANG,UNIV TORONTO PRESS INC,1747-6321,1747-633X,325.0,8.0,10.0,6.0,12.0,1.2,1.2,1.2,0.94,Q2,114/303,gender and language,Gender Lang.,0.298,Q1,17.0,Philosophy (Q1); Gender Studies (Q2); Linguistics and Language (Q2),Arts and Humanities; Social Sciences
12283.0,Mediterranean Journal of Mathematics,2024.0,MEDITERR J MATH,SPRINGER BASEL AG,1660-5446,1660-5454,2673.0,219.0,219.0,4.6,14.1,1.2,1.2,1.2,0.94,Q1,84/483,mediterranean journal of mathematics,Mediterr. J. Math.,0.604,Q2,39.0,Mathematics (miscellaneous) (Q2),Mathematics
12283.0,JOURNAL OF GEOMETRY AND PHYSICS,2024.0,J GEOM PHYS,ELSEVIER,0393-0440,1879-1662,3701.0,217.0,219.0,7.8,17.9,1.2,1.4,1.2,0.93,Q1,84/483,journal of geometry and physics,J. Geom. Phys.,0.617,Q2,61.0,Geometry and Topology (Q2); Mathematical Physics (Q2); Physics and Astronomy (miscellaneous) (Q2),Mathematics; Physics and Astronomy
12283.0,Languages,2024.0,LANGUAGES-BASEL,MDPI,,2226-471X,1281.0,372.0,380.0,2.5,13.7,1.2,1.2,1.0,0.93,Q2,114/303,languages,Languages,0.395,Q1,15.0,Linguistics and Language (Q1),Social Sciences
12283.0,EXPERIMENTAL ANIMALS,2024.0,EXP ANIM TOKYO,INT PRESS EDITING CENTRE INC,1341-1357,1881-7122,1615.0,36.0,37.0,7.8,8.8,1.2,2.3,1.2,0.92,Q2,85/181,experimental animals,Exp. Anim.,0.481,Q2,52.0,"Animal Science and Zoology (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Veterinary (miscellaneous) (Q2); Medicine (miscellaneous) (Q3)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine; Veterinary"
12283.0,JOURNAL OF RAPTOR RESEARCH,2024.0,J RAPTOR RES,RAPTOR RESEARCH FOUNDATION INC,0892-1016,2162-4569,1235.0,46.0,46.0,10.9,12.4,1.2,1.4,0.9,0.92,Q2,11/29,journal of raptor research,J. Raptor Res.,0.407,Q2,39.0,Animal Science and Zoology (Q2),Agricultural and Biological Sciences
12283.0,Selecta Mathematica-New Series,2024.0,SEL MATH-NEW SER,SPRINGER INT PUBL AG,1022-1824,1420-9020,1648.0,104.0,104.0,7.4,16.6,1.2,1.4,1.2,0.92,Q1,84/483,selecta mathematica new series,Sel. Math. New Ser.,,,,,
12283.0,Dolomites Research Notes on Approximation,2024.0,DOLOMIT RES NOTES AP,PADOVA UNIV PRESS,2035-6803,2035-6803,188.0,23.0,23.0,3.4,16.4,1.2,0.9,1.2,0.91,Q1,84/483,dolomites research notes on approximation,Dolomit. Res. Notes Ap.,0.417,Q2,13.0,Mathematics (miscellaneous) (Q2); Applied Mathematics (Q3),Mathematics
12283.0,Forum of Mathematics Sigma,2024.0,FORUM MATH SIGMA,CAMBRIDGE UNIV PRESS,,2050-5094,847.0,127.0,127.0,4.0,15.2,1.2,1.4,1.1,0.91,Q1,84/483,forum of mathematics sigma,Forum Math. Sigma,,,,,
12283.0,GEODIVERSITAS,2024.0,GEODIVERSITAS,MUSEUM NATL HISTOIRE NATURELLE,1280-9659,1638-9395,903.0,18.0,19.0,12.9,26.5,1.2,1.5,1.1,0.91,Q3,40/56,geodiversitas,Geodiversitas,0.488,Q2,44.0,Geology (Q2); Paleontology (Q2),Earth and Planetary Sciences
12283.0,Journal of Competition Law & Economics,2024.0,J COMPET LAW ECON,OXFORD UNIV PRESS,1744-6414,1744-6422,412.0,20.0,20.0,7.7,10.6,1.2,1.2,1.2,0.91,Q2,118/434,journal of competition law and economics,J. Compet. Law Econ.,0.534,Q1,30.0,Law (Q1); Economics and Econometrics (Q2),"Economics, Econometrics and Finance; Social Sciences"
12283.0,Signs and Society,2024.0,SIGNS SOC,CAMBRIDGE UNIV PRESS,2326-4489,2326-4497,238.0,16.0,16.0,6.3,12.8,1.2,1.1,1.1,0.91,Q2,48/141,signs and society,Signs Soc.,0.34,Q1,14.0,Cultural Studies (Q1); Linguistics and Language (Q1); Visual Arts and Performing Arts (Q1); Communication (Q2),Arts and Humanities; Social Sciences
12283.0,Topics in Spinal Cord Injury Rehabilitation,2024.0,TOP SPINAL CORD INJ,AMER SPINAL INJURY ASSOC,1082-0744,1945-5763,1201.0,23.0,27.0,7.1,9.2,1.2,2.5,1.2,0.91,Q3,115/173,topics in spinal cord injury rehabilitation,Top. Spinal Cord Inj.,0.672,Q2,43.0,"Neurology (clinical) (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Rehabilitation (Q2)",Health Professions; Medicine
12283.0,Digest of Middle East Studies,2024.0,DIG MIDDLE EAST STUD,WILEY,1060-4367,1949-3606,194.0,21.0,22.0,4.8,9.5,1.2,1.0,1.1,0.9,Q1,35/182,digest of middle east studies,Dig. Middle East Stud.,,,,,
12283.0,FINITE FIELDS AND THEIR APPLICATIONS,2024.0,FINITE FIELDS TH APP,ACADEMIC PRESS INC ELSEVIER SCIENCE,1071-5797,1090-2465,1973.0,136.0,136.0,7.2,13.0,1.2,1.3,0.9,0.9,Q1,84/483,finite fields and their applications,Finite Fields Appl.,0.915,Q1,53.0,Algebra and Number Theory (Q1); Applied Mathematics (Q1); Engineering (miscellaneous) (Q1); Theoretical Computer Science (Q2),Engineering; Mathematics
12283.0,Intertax,2024.0,INTERTAX,KLUWER LAW INT,0165-2826,1875-8347,334.0,47.0,50.0,4.0,7.6,1.2,0.6,0.7,0.9,Q2,118/434,intertax,Intertax,0.264,Q2,9.0,Law (Q2); Accounting (Q3),"Business, Management and Accounting; Social Sciences"
12283.0,Journal of Community Practice,2024.0,J COMMUNITY PRACT,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1070-5422,1543-3706,634.0,27.0,27.0,9.4,8.8,1.2,1.5,1.1,0.9,Q2,44/94,journal of community practice,J. Community Pract.,0.488,Q2,38.0,Development (Q2); Public Administration (Q2); Sociology and Political Science (Q2),Social Sciences
12283.0,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,2024.0,J MATH ANAL APPL,ACADEMIC PRESS INC ELSEVIER SCIENCE,0022-247X,1096-0813,26538.0,905.0,905.0,14.2,14.1,1.2,1.2,1.1,0.89,Q1,84/483,journal of mathematical analysis and applications,J. Math. Anal. Appl.,0.816,Q1,162.0,Analysis (Q1); Applied Mathematics (Q2),Mathematics
12283.0,JOURNAL OF EVOLUTION EQUATIONS,2024.0,J EVOL EQU,SPRINGER BASEL AG,1424-3199,1424-3202,1340.0,99.0,99.0,6.4,13.8,1.2,1.4,1.1,0.88,Q1,84/483,journal of evolution equations,J. Evol. Equations,1.195,Q1,41.0,Mathematics (miscellaneous) (Q1),Mathematics
12283.0,Journal of Social Philosophy,2024.0,J SOC PHILOS,WILEY,0047-2786,1467-9833,828.0,33.0,33.0,10.6,10.6,1.2,1.3,1.2,0.88,Q3,43/77,journal of social philosophy,J. Soc. Philos.,0.484,Q1,41.0,Philosophy (Q1),Arts and Humanities
12283.0,ORNIS FENNICA,2024.0,ORNIS FENNICA,BIRDLIFE FINLAND,0030-5685,0030-5685,564.0,11.0,11.0,16.4,15.9,1.2,1.3,1.2,0.88,Q2,11/29,ornis fennica,Ornis Fenn.,0.395,Q2,33.0,Animal Science and Zoology (Q2),Agricultural and Biological Sciences
12283.0,AUSTRALIAN ARCHAEOLOGY,2024.0,AUST ARCHAEOL,TAYLOR & FRANCIS LTD,0312-2417,2470-0363,456.0,14.0,54.0,12.1,14.7,1.2,1.3,0.8,0.87,Q2,48/141,australian archaeology,Aust. Archaeol.,0.379,Q1,29.0,Archeology (Q1); Archeology (arts and humanities) (Q1),Arts and Humanities; Social Sciences
12283.0,Evolution Equations and Control Theory,2024.0,EVOL EQU CONTROL THE,AMER INST MATHEMATICAL SCIENCES-AIMS,2163-2480,2163-2480,734.0,75.0,75.0,4.5,11.1,1.2,1.4,1.0,0.87,Q1,84/483,evolution equations and control theory,Evol. Equations Control Theory,0.888,Q1,23.0,Applied Mathematics (Q1); Control and Optimization (Q1); Modeling and Simulation (Q1),Mathematics
12283.0,Space and Culture,2024.0,SPACE CULT,SAGE PUBLICATIONS INC,1206-3312,1552-8308,868.0,14.0,14.0,9.3,12.6,1.2,1.1,1.2,0.86,Q2,17/64,space and culture,Space Cult.,0.482,Q1,47.0,"Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); Geography, Planning and Development (Q2); Urban Studies (Q2); Tourism, Leisure and Hospitality Management (Q3)","Arts and Humanities; Business, Management and Accounting; Social Sciences"
12283.0,Results in Mathematics,2024.0,RESULTS MATH,SPRINGER BASEL AG,1422-6383,1420-9012,2418.0,281.0,281.0,5.2,16.1,1.2,1.2,1.1,0.85,Q1,84/483,results in mathematics,Results Math.,0.618,Q2,42.0,Applied Mathematics (Q2); Mathematics (miscellaneous) (Q2),Mathematics
12283.0,VIAL-Vigo International Journal of Applied Linguistics,2024.0,VIAL-VIGO INT J APPL,UNIV VIGO,1697-0381,,111.0,6.0,6.0,9.8,10.3,1.2,1.2,1.2,0.85,Q2,114/303,vial vigo international journal of applied linguistics,Vial-Vigo Int. J. Appl.,,,,,
12283.0,Bilingual Research Journal,2024.0,BILING RES J,TAYLOR & FRANCIS LTD,1523-5882,1523-5890,1029.0,37.0,37.0,8.9,8.3,1.2,2.6,1.0,0.83,Q2,114/303,bilingual research journal,Biling. Res. J.,0.586,Q1,47.0,Linguistics and Language (Q1); Education (Q2),Social Sciences
12283.0,English Teaching-Practice and Critique,2024.0,ENGL TEACH-PRACT CRI,EMERALD GROUP PUBLISHING LTD,1175-8708,1175-8708,475.0,30.0,31.0,6.9,6.5,1.2,1.2,0.9,0.81,Q2,114/303,english teaching practice and critique,Engl. Teach.-Pract. Cri.,,,,,
12283.0,FOLIA MORPHOLOGICA,2024.0,FOLIA MORPHOL,VIA MEDICA,0015-5659,1644-3284,1733.0,95.0,110.0,6.4,10.3,1.2,1.2,1.1,0.81,Q3,14/22,folia morphologica,Folia Morphol.,0.317,Q3,36.0,Anatomy (Q3); Histology (Q3),Medicine
12283.0,Irish Educational Studies,2024.0,IRISH EDUC STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0332-3315,1747-4965,785.0,35.0,37.0,4.3,8.0,1.2,1.7,1.1,0.81,Q2,372/756,irish educational studies,Irish Educ. Stud.,0.626,Q2,30.0,Education (Q2),Social Sciences
12283.0,Journal of Education for Students Placed at Risk,2024.0,J EDUC STUDENTS PLAC,TAYLOR & FRANCIS INC,1082-4669,1532-7671,637.0,10.0,10.0,8.3,8.6,1.2,2.1,1.2,0.81,Q2,372/756,journal of education for students placed at risk,J. Educ. Students Plac.,0.948,Q1,23.0,Education (Q1),Social Sciences
12283.0,Journal of English as a Lingua Franca,2024.0,J ENGL LING FR,WALTER DE GRUYTER GMBH,2191-9216,2191-933X,198.0,9.0,9.0,8.0,6.7,1.2,1.0,1.1,0.81,Q2,114/303,journal of english as a lingua franca,J. Engl. Ling. Fr.,0.363,Q1,30.0,Linguistics and Language (Q1); Communication (Q2),Social Sciences
12283.0,Asian Journal of Social Science,2024.0,ASIAN J SOC SCI,ELSEVIER,1568-4849,1568-5314,547.0,19.0,19.0,10.1,12.9,1.2,1.2,1.1,0.8,Q1,35/182,asian journal of social science,Asian J. Soc. Sci.,0.2,Q3,26.0,Social Sciences (miscellaneous) (Q3),Social Sciences
12283.0,Canadian Journal of Applied Linguistics,2024.0,CAN J APPL LINGUIST,ASSOC CANADIENNE LINGUISTIQUE APPLIQUEE,1920-1818,1920-1818,241.0,16.0,16.0,10.3,11.5,1.2,0.9,1.0,0.8,,,canadian journal of applied linguistics,Can. J. Appl. Linguist.,,,,,
12283.0,EUROPE-ASIA STUDIES,2024.0,EUROPE-ASIA STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0966-8136,1465-3427,1952.0,48.0,49.0,9.0,10.6,1.2,1.6,1.2,0.8,Q1,35/182,europe asia studies,Europe-Asia Stud.,0.588,Q1,66.0,"History (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2); Geography, Planning and Development (Q2)","Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
12283.0,International Journal of the Sociology of Language,2024.0,INT J SOCIOL LANG,WALTER DE GRUYTER GMBH,0165-2516,1613-3668,1237.0,50.0,50.0,11.8,11.4,1.2,,1.2,0.79,Q2,114/303,international journal of the sociology of language,Int. J. Sociol. Lang.,0.608,Q1,47.0,Linguistics and Language (Q1),Social Sciences
12283.0,TalTech Journal of European Studies,2024.0,TALTECH J EUR STUD,SCIENDO,2674-4600,2674-4619,72.0,26.0,26.0,,6.5,1.2,1.3,0.9,0.79,Q2,118/434,taltech journal of european studies,Taltech J. Eur. Stud.,0.104,Q4,10.0,History (Q4); Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4),Arts and Humanities; Social Sciences
12283.0,Chinese Journal of International Law,2024.0,CHIN J INT LAW,OXFORD UNIV PRESS,1540-1650,1746-9937,333.0,19.0,19.0,10.1,8.3,1.2,0.9,0.9,0.78,Q2,118/434,chinese journal of international law,Chin. J. Int. Law,0.434,Q1,24.0,Law (Q1); Political Science and International Relations (Q2),Social Sciences
12283.0,FEMINIST REVIEW,2024.0,FEMINIST REV,SAGE PUBLICATIONS LTD,0141-7789,1466-4380,1479.0,31.0,31.0,16.3,9.3,1.2,2.5,0.9,0.78,Q3,39/70,feminist review,Feminist Rev.,0.277,Q2,55.0,Arts and Humanities (miscellaneous) (Q2); Gender Studies (Q2),Arts and Humanities; Social Sciences
12283.0,STUDIES IN COMPARATIVE INTERNATIONAL DEVELOPMENT,2024.0,STUD COMP INT DEV,SPRINGER,0039-3606,1936-6167,1405.0,34.0,34.0,15.2,9.8,1.2,2.5,1.2,0.78,Q3,87/169,studies in comparative international development,Stud. Comp. Int. Dev.,0.967,Q1,62.0,Development (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1),Social Sciences
